"name","type","url","dataset_DOI","description","published_at","publisher","citationHtml","identifier_of_dataverse","name_of_dataverse","citation","storageIdentifier","keywords","subjects","fileCount","versionId","versionState","majorVersion","minorVersion","createdAt","updatedAt","contacts","publications","producers","geographicCoverage","authors","dataSources","viewsTotal","viewsUnique","downloadsTotal","downloadsUnique","storage_size_bytes","storage_size_GB"
"Données d'humidité et température du sol sur le bassin versant de l'Yzeron (depuis 2018)","dataset","https://doi.org/10.57745/OHWLEC","doi:10.57745/OHWLEC","Données d'humidité et température du sol sur le bassin versant de l'Yzeron (depuis 2018). Données en continu, sur 2 sites (occupation du sol = prairie), à 3 profondeurs (10, 30 et 60 cm). Sondes Campbell CS655.","2024-07-25T15:40:50Z","Data INRAE","Branger, Flora; Lagouy, Micka&euml;l, 2024, ""Donn&eacute;es d'humidit&eacute; et temp&eacute;rature du sol sur le bassin versant de l'Yzeron (depuis 2018)"", <a href=""https://doi.org/10.57745/OHWLEC"" target=""_blank"">https://doi.org/10.57745/OHWLEC</a>, Recherche Data Gouv, V1","inrae","Data INRAE","Branger, Flora; Lagouy, Mickaël, 2024, ""Données d'humidité et température du sol sur le bassin versant de l'Yzeron (depuis 2018)"", https://doi.org/10.57745/OHWLEC, Recherche Data Gouv, V1","inrae://10.57745/OHWLEC","soil moisture; soil temperature","Earth and Environmental Sciences",0,273575,"RELEASED",1,1,"2024-07-25T15:40:23Z","2024-11-22T12:38:06Z","Support BDOH; INRAE","","UR RiverLy; Observatoire de terrain en hydrologie urbaine; Observatoires de la zone critique : Applications et recherche","France; Auvergne-Rhône-Alpes,","Branger, Flora; Lagouy, Mickaël","",553,192,0,0,0,0
"Suivi hydrométrique par mesure vidéo sur le bassin versant de l'Ardèche","dataset","https://doi.org/10.17180/obs.ohm-cv.ardeche","doi:10.17180/obs.ohm-cv.ardeche","L'Observatoire Hydro-météorologique Méditerranéen Cévennes-Vivarais vise à fédérer les compétences de chercheurs de disciplines variées (météorologie, hydrologie, géophysique, géographie, mathématiques appliquées, socio-économie... ) pour améliorer les connaissances et les capacités de prévision du risque hydro-météorologique associé aux pluies intenses et aux crues éclairs. Plusieurs instituts et laboratoires contribuent à l'acquisition de données météorologiques et hydrologiques: La contribution de l'Irstea de Lyon consiste à mettre en service et assurer la maintenance et continuer le développement d'un réseau de stations de mesures sans contact du débit des rivières (mesure des vitesses de surface par la méthode LSPIV, et mesures de hauteur d'eau par capteur radar) sur le bassin versant de l'Ardèche. La contribution de l'Ecole des Mines d'Alès et de l'UMR Espace consiste à instrumenter et suivre plusieurs petits bassins versants cévenols: Valescure, Tourgueille, Avène (bassin du Gard), Cèze, Mont-Lozère (bassin du Tarn), et Basse Cévenne Calcaire. La contribution du LTHE concerne les bassins du Gazel et de la Claduègne (BV Ardèche), sur lesquels sont réalisés des suivis de hauteur limnimétrique, vitesse de surface, débit, turbidité, conductivité et température de l'eau. Sites expérimentaux Ardèche Mesures des débits de crue par analyse d'image sur le bassin versant de l'Ardèche Avène Bassins du piemont alésien : Avène amont : 2012-actuel -10 km2 -275-535 m alt.– géologie : houiller et calcaire (karst) – largement boisé (chêne vert) Avene aval : 2012-actuel –- 60 km2- 110-535 - géologie : dominante marno calcaire – espace agricole en voie d’urbanisation- Equipement : station non aménagée – 1 (2) limnigraphes – pluviographes à proximité : Les Mathieux (St julien les Rosiers) et St Christol-lez Alès Basse Cévenne Calcaire Système karstique du piémont alésien (une des têtes du bassin du Grabieux). 2011-actuel. alt. 200-356 m. géologie: calcaires jurassiques. végétation: boisement de chêne vert dominant exploité extensivement- 4 stations souterraines, 1 résurgence, 1 vallon sec. 1 pluviographe. mesures: niveau, (débit), pluie, température, conductivité Cèze Pas de description disponible Gazel - Claduègne Système d’observations hydrométéorologiques et hydro-sédimentaires centré sur trois bassins versants emboités : Gazel, Claduègne, Auzon (respectivement 3,4, 43, et 116 km²). Climat méditerranéen avec des précipitations et des crues éclairs en automne. La partie supérieure du bassin versant se caractérise par des formations volcaniques tandis que les deux tiers inférieurs sont constitués de roche calcaire sédimentaire. Les types de sols sont fortement influencés par la géologie du bassin versant. Les principaux types d’usage des sols sont les pâturages, les vignes et la forêt. Mont-Lozère BVRE de moyenne montagne sub mediterranéenne - flanc sud du Mont Lozère (1150-1500 m alt.) -granite- BV Cloutasses: lande à genêt pâturage ovin - 0.81 km2 BV Latte: forêt ONF -épicéa coupé en 1987-198 9 puis nouvelle plantation (résineux dominants) - 0.20 km2 BV Sapine: forêt PnC (hêtraie 80 %) - 0.54 km2 BV Alignon: composite - granite/schistes- 14.5 km2 (depuis 1997) BV Goudesche: forestier -11.7 km2 (voir station DREAL) -1997-2003 suivi depuis 1981 - chroniques Climato (P, T, insolation,...); pluviométrie (5 sites); débits: 5 stations hydro Tourgueille Bassins versants cévenols - Crebades : 2012-actuel – 1 km2- forestier (reboisement résineux dominant); Lieure (reboisement et terrasses abandonnées: 2012- actuel – 3 km2 ; Roumegous : 2012-actuel -10 km2 – composite . Equipement : stations naturelles sujettes à détarage important sur la Lieure et à Roumegous - 1 (2) limnigraphes ; 1 pluviographe (Tourgueille) Valescure Bassin versant représentatif des Cévennes,compris entre 230 et 815 m alt.: géologie: granite dominant, gneiss et schistes- boisé à 98 % (châtaigner: 50 %, chêne vert:42 %; résineux:5%)- aménagements anciens : terrasses, traversiers et tancats (ouvrages en pierres sèches barrant les thalwegs ayant fait l'objet de restauration entre 2002 et 2006). 5 BV étudiés : Valescure aval 2003-actuel 3.93 km2; Abrits: 2003-actuel -0.63 km2 - gneiss dominant et schistes - nombreux tancats; Cartaou : 2003-actuel - 0.52 km2 -gneiss et granite - référence (sans restauration)- châtaigneraie; Bastide: 2004-actuel -0.27 km2 -chênes verts et châtaigners; Valescure amont: 2005-actuel - 0.93 km2 -forestier; matériel géré par ESPACE: 5 limnigraphes - 2 pluviographes -1 station climatologique - 1 station TDR (2005-2010)","2024-11-22T12:36:28Z","BDOH","Dramais, Guillaume; Le Coz, J&eacute;r&ocirc;me; Buffet, Alexis; Le Boursicaud, Rapha&euml;l; Gallavardin, Antoine; Rambeau, Claire; Benmamar, Driss; Hauet, Alexandre, 2024, ""Suivi hydrom&eacute;trique par mesure vid&eacute;o sur le bassin versant de l'Ard&egrave;che"", <a href=""https://doi.org/10.17180/obs.ohm-cv.ardeche"" target=""_blank"">https://doi.org/10.17180/obs.ohm-cv.ardeche</a>, Recherche Data Gouv, V1","BDOH","BDOH","Dramais, Guillaume; Le Coz, Jérôme; Buffet, Alexis; Le Boursicaud, Raphaël; Gallavardin, Antoine; Rambeau, Claire; Benmamar, Driss; Hauet, Alexandre, 2024, ""Suivi hydrométrique par mesure vidéo sur le bassin versant de l'Ardèche"", https://doi.org/10.17180/obs.ohm-cv.ardeche, Recherche Data Gouv, V1","inrae://10.17180/obs.ohm-cv.ardeche","hydrology; bassin versant expérimental; flash flood; hydrometry; velocimetrie par image de particules","Earth and Environmental Sciences",0,273763,"RELEASED",1,0,"2024-10-16T16:19:44Z","2024-11-22T12:36:28Z","Support BDOH; INRAE","","Étude des structures, des processus d’adaptation et des changements de l’espace","France; Gard,; Bassin versant de l'Ardèche,; France; Ardèche,; Bassin versant de l'Ardèche,","Dramais, Guillaume; Le Coz, Jérôme; Buffet, Alexis; Le Boursicaud, Raphaël; Gallavardin, Antoine; Rambeau, Claire; Benmamar, Driss; Hauet, Alexandre","",74,48,0,0,0,0
"Observatoire des Sédiments du Rhône","dataset","https://doi.org/10.17180/obs.osr","doi:10.17180/obs.osr","L’Observatoire des Sédiments du Rhône (OSR) a été créé en 2009 à la suite de questions qui ont émergé dans le cadre du plan Rhône. Sur le Rhône, du Léman à la Méditerranée, soit un linéaire de plus de 500 km, cet observatoire a pour mission de produire, rassembler et gérer des données visant à caractériser les stocks et les flux sédimentaires, ainsi que les pollutions associées à ces sédiments. L’OSR est un programme de recherche financé au titre du Plan Rhône et bénéficie du soutien du Fond Européen pour le Développement Régional. L’OSR est un programme de recherche regroupant scientifiques (CNRS, INRAE, ENTPE, IRSN, Ifremer) et les principaux gestionnaires du fleuve (DREAL, Agence de l’Eau, la CNR, les régions Auvergne Rhône-Alpes, Provence-Alpes-Côte d’Azur et Occitanie, et EDF). Il constitue l’un des observatoires de la Zone Atelier du Bassin du Rhône (ZABR). Sites expérimentaux Réseau de mesure des flux de l'OSR Ce site expérimental regroupe les suivis par les différents partenaires de l'OSR des débits, des concentrations en matières en suspension et des concentrations en micropolluants sur le Rhône et ses affluents.","2024-11-22T12:36:09Z","BDOH","Thollet, Fabien; Le Bescond, Chlo&eacute;; Lagouy, Micka&euml;l; Gruat, Alexandra; Grisot, Ghislaine; Le Coz, J&eacute;r&ocirc;me; Coquery, Marina; Lepage, Hugo; Gairoard, St&eacute;phanie; Gattacceca, Julie Claire; Ambrosi, Jean-Paul; Radakovitch, Olivier; Dur, Genevi&egrave;ve; Richard, Loic; Giner, F.; Eyrolle, Fr&eacute;d&eacute;rique; Angot, H&eacute;l&egrave;ne; Mourier, D.; Bonnefoy, Adrien; Dugu&eacute;, Violaine; Launay, Marina; Troudet, Laura; Labille, J&eacute;r&ocirc;me; Kieffer, L&eacute;a, 2024, ""Observatoire des S&eacute;diments du Rh&ocirc;ne"", <a href=""https://doi.org/10.17180/obs.osr"" target=""_blank"">https://doi.org/10.17180/obs.osr</a>, Recherche Data Gouv, V1","BDOH","BDOH","Thollet, Fabien; Le Bescond, Chloé; Lagouy, Mickaël; Gruat, Alexandra; Grisot, Ghislaine; Le Coz, Jérôme; Coquery, Marina; Lepage, Hugo; Gairoard, Stéphanie; Gattacceca, Julie Claire; Ambrosi, Jean-Paul; Radakovitch, Olivier; Dur, Geneviève; Richard, Loic; Giner, F.; Eyrolle, Frédérique; Angot, Hélène; Mourier, D.; Bonnefoy, Adrien; Dugué, Violaine; Launay, Marina; Troudet, Laura; Labille, Jérôme; Kieffer, Léa, 2024, ""Observatoire des Sédiments du Rhône"", https://doi.org/10.17180/obs.osr, Recherche Data Gouv, V1","inrae://10.17180/obs.osr","hydrology; water quality; metal ; hydraulics; sediment transport; organic micropollutant","Earth and Environmental Sciences",0,273768,"RELEASED",1,0,"2024-10-17T08:07:43Z","2024-11-22T12:36:09Z","Support BDOH; INRAE","","Union européenne; Métropole de Lyon; Institut méditerranéen d'océanologie; Fonds européen de développement régional; Institut français de recherche pour l'exploitation de la mer; Électricité de France; Compagnie nationale du Rhône; Institut de radioprotection et de sûreté nucléaire; Centre de recherche et d’enseignement des géosciences de l’environnement; Zone atelier bassin du Rhône; Services de prévision des crues du Grand Delta; RiverLy; Direction régionale de l'environnement,de l'aménagement et du logement de l'Auvergne-Rhône-Alpes; Office fédéral de l'environnement","France; Fleuve Rhône,","Thollet, Fabien; Le Bescond, Chloé; Lagouy, Mickaël; Gruat, Alexandra; Grisot, Ghislaine; Le Coz, Jérôme; Coquery, Marina; Lepage, Hugo; Gairoard, Stéphanie; Gattacceca, Julie Claire; Ambrosi, Jean-Paul; Radakovitch, Olivier; Dur, Geneviève; Richard, Loic; Giner, F.; Eyrolle, Frédérique; Angot, Hélène; Mourier, D.; Bonnefoy, Adrien; Dugué, Violaine; Launay, Marina; Troudet, Laura; Labille, Jérôme; Kieffer, Léa","",75,72,0,0,0,0
"Suivi hydrologique des lônes de la basse vallée de l'Ain","dataset","https://doi.org/10.17180/obs.lones-ain","doi:10.17180/obs.lones-ain","Lônes de l'Ain Les lônes sont des bras morts encore partiellement connectés au cours d'eau lors des crues. Leur étude a donc été entreprise, pour comprendre la dynamique sédimentaire qui va décider de leur maintien ou de leur atterrissement. Le suivi par INRAE Lyon des lônes de l’Ain se place dans le cadre du programme « Modifications anthropiques des flux sédimentaires des cours d’eau, réponses des écosystèmes aquatiques et actions de restauration » de la Région Auvergne Rhône-Alpes et par le programme national ACI « ECCO » PNRH, « étude du fonctionnement hydro-sédimentaire des annexes fluviales ». Sites expérimentaux Lônes de l'Ain Suivi des hauteurs d'eau de la température et de la conductivité électrique dans les lônes","2024-11-22T12:36:42Z","BDOH","Dramais, Guillaume; Le Coz, J&eacute;r&ocirc;me; Thollet, Fabien; Madigou, C&eacute;line, 2024, ""Suivi hydrologique des l&ocirc;nes de la basse vall&eacute;e de l'Ain"", <a href=""https://doi.org/10.17180/obs.lones-ain"" target=""_blank"">https://doi.org/10.17180/obs.lones-ain</a>, Recherche Data Gouv, V1","BDOH","BDOH","Dramais, Guillaume; Le Coz, Jérôme; Thollet, Fabien; Madigou, Céline, 2024, ""Suivi hydrologique des lônes de la basse vallée de l'Ain"", https://doi.org/10.17180/obs.lones-ain, Recherche Data Gouv, V1","inrae://10.17180/obs.lones-ain","hydrology; hydraulics; humid zone; lône; oxbow lakes; groundwater","Earth and Environmental Sciences",0,273762,"RELEASED",1,0,"2024-10-16T15:59:19Z","2024-11-22T12:36:42Z","Support BDOH; INRAE","","UR RiverLy","France; Auvergne Rhône-Alpes,; Basse vallée de l'Ain,","Dramais, Guillaume; Le Coz, Jérôme; Thollet, Fabien; Madigou, Céline","",29,28,0,0,0,0
"Jeu de données issu de l'observatoire hydrologique Haute-Loire","dataset","https://doi.org/10.17180/obs.haute-loire","doi:10.17180/obs.haute-loire","Le sujet d'étude de l'observatoire Haute Loire était l'impact de l’entretien de la végétation rivulaire et du bois mort sur les communautés biologiques et la morphologie des cours d’eau. Cette étude a démarré en 1999 pour se terminer en 2002. Deux stations de mesures étaient suivies : sur la Cronce, affluent de l'Allier et le Doulon, sous-affluent de l'Allier. Sur chaque cours d’eau, trois secteurs représentatifs du tronçon (d’une longueur de 1 km environ) étaient délimités : un « secteur embâcles », où le bois mort accumulé dans le lit fut retiré ; un « secteur ripisylve », où à l’inverse l’intervention s'est faite uniquement sur la végétation rivulaire ; enfin, « un secteur témoin », sur lequel aucune intervention n'a été réalisée pendant la durée de l’étude.","2024-11-22T12:36:53Z","BDOH","Madigou, C&eacute;line; Albert, Marie-Bernadette; Navratil, Oldrich; Ribot-Bruno, Jos&eacute;; Thollet, Fabien, 2024, ""Jeu de donn&eacute;es issu de l'observatoire hydrologique Haute-Loire"", <a href=""https://doi.org/10.17180/obs.haute-loire"" target=""_blank"">https://doi.org/10.17180/obs.haute-loire</a>, Recherche Data Gouv, V1","BDOH","BDOH","Madigou, Céline; Albert, Marie-Bernadette; Navratil, Oldrich; Ribot-Bruno, José; Thollet, Fabien, 2024, ""Jeu de données issu de l'observatoire hydrologique Haute-Loire"", https://doi.org/10.17180/obs.haute-loire, Recherche Data Gouv, V1","inrae://10.17180/obs.haute-loire","hydrology; bassin versant expérimental; aquatic fauna; écosystème ripisylve; vegetation; down woody debris; geomorphology","Earth and Environmental Sciences",0,273761,"RELEASED",1,0,"2024-10-16T15:41:29Z","2024-11-22T12:36:53Z","Support BDOH; INRAE","","Institut national de recherche pour l'agriculture,l'alimentation et l'environnement","France; Haute-Loire,; Rivière Cronce,; France; Haute-Loire,; Ruisseau de Doulon,","Madigou, Céline; Albert, Marie-Bernadette; Navratil, Oldrich; Ribot-Bruno, José; Thollet, Fabien","",33,31,0,0,0,0
"Concentrations and fluxes of suspended particulate matters and associated contaminants in the Rhône River from Lake Geneva to the Mediterranean Sea","dataset","https://doi.org/10.15454/RJCQZ7","doi:10.15454/RJCQZ7","The dataset contains the concentrations and fluxes of SPM as well as the concentrations and fluxes of several particle bound contaminants of concern (PCB, TME, radionuclides), the particle size distribution and the particulate organic carbon of SPM. Sediment traps or continuous flow centrifuges were used to collect sufficient amount of suspended particle matters in order to conduct the measurements.","2021-09-27T12:07:21Z","Data INRAE","Lepage, Hugo; Gruat, Alexandra; THOLLET, FABIEN; Le Coz, J&eacute;r&ocirc;me; Coquery, Marina; Masson, Matthieu; Dabrin, Aymeric; Radakovitch, Olivier; Eyrolle, Fr&eacute;d&eacute;rique; Labille, J&eacute;r&ocirc;me; Ambrosi Jean-Paul; Delanghe, Doriane; Raimbault, Patrick, 2021, ""Concentrations and fluxes of suspended particulate matters and associated contaminants in the Rh&ocirc;ne River from Lake Geneva to the Mediterranean Sea"", <a href=""https://doi.org/10.15454/RJCQZ7"" target=""_blank"">https://doi.org/10.15454/RJCQZ7</a>, Recherche Data Gouv, V1","inrae","Data INRAE","Lepage, Hugo; Gruat, Alexandra; THOLLET, FABIEN; Le Coz, Jérôme; Coquery, Marina; Masson, Matthieu; Dabrin, Aymeric; Radakovitch, Olivier; Eyrolle, Frédérique; Labille, Jérôme; Ambrosi Jean-Paul; Delanghe, Doriane; Raimbault, Patrick, 2021, ""Concentrations and fluxes of suspended particulate matters and associated contaminants in the Rhône River from Lake Geneva to the Mediterranean Sea"", https://doi.org/10.15454/RJCQZ7, Recherche Data Gouv, V1","inrae://10.15454/RJCQZ7","hydrology; hydraulics; sediment transport; organic micropollutant; metal ; water quality","Earth and Environmental Sciences",0,274727,"RELEASED",1,1,"2021-09-27T11:14:02Z","2024-11-22T12:38:20Z","THOLLET, FABIEN; INRAE","","","","Lepage, Hugo; Gruat, Alexandra; THOLLET, FABIEN; Le Coz, Jérôme; Coquery, Marina; Masson, Matthieu; Dabrin, Aymeric; Radakovitch, Olivier; Eyrolle, Frédérique; Labille, Jérôme; Ambrosi Jean-Paul; Delanghe, Doriane; Raimbault, Patrick","",1057,492,0,0,0,0
"Dataset associated to ""Enhanced database creation with in silico workflows for suspect screening of unknown tebuconazole transformation products in environmental samples by UHPLC-HRMS""","dataset","https://doi.org/10.57745/Y3JLTV","doi:10.57745/Y3JLTV","This dataset gather data files and script that are related to the creation of a database for suspect screening analysis of 291 transformation products (TPs) of tebuconazole, assisted by in silico workflows. There are several types of files: (1) The enhance created database itself, in .csv format ; (2) All structures of TPs of the database in one file, in the in .sdf format ; (3) Structure of each TPs of the database in differents .mol files, compressed in a .zip file. ; (4) A compilation of the scripts used for the database creation, in .rmd format.","2022-08-03T18:27:00Z","Experimental - Observation - Simulation","ROCCO, Kevin; MARGOUM, Christelle; RICHARD, Lo&iuml;c; COQUERY, Marina, 2022, ""Dataset associated to &quot;Enhanced database creation with in silico workflows for suspect screening of unknown tebuconazole transformation products in environmental samples by UHPLC-HRMS&quot;"", <a href=""https://doi.org/10.57745/Y3JLTV"" target=""_blank"">https://doi.org/10.57745/Y3JLTV</a>, Recherche Data Gouv, V1","eos","Experimental - Observation - Simulation","ROCCO, Kevin; MARGOUM, Christelle; RICHARD, Loïc; COQUERY, Marina, 2022, ""Dataset associated to ""Enhanced database creation with in silico workflows for suspect screening of unknown tebuconazole transformation products in environmental samples by UHPLC-HRMS"""", https://doi.org/10.57745/Y3JLTV, Recherche Data Gouv, V1","inrae://10.57745/Y3JLTV","database; suspect screening; transformation products; in silico predictors","Chemistry; Earth and Environmental Sciences",4,264912,"RELEASED",1,0,"2022-07-09T23:57:43Z","2022-08-03T18:27:00Z","ROCCO, Kevin; Centre Lyon - UR RiverLy - Equipe LAMA","","","","ROCCO, Kevin; MARGOUM, Christelle; RICHARD, Loïc; COQUERY, Marina","",694,289,53,17,NA,NA
"Dataset associated to ""Caged Gammarus fossarum (Crustacea) for the assessment of bioavailable contamination levels in continental waters: a national deployment""","dataset","https://doi.org/10.57745/MYYIIM","doi:10.57745/MYYIIM","The dataset comprises bioavailable chemical contamination data (bioaccumulated contamination levels measured in caged Gammarus fossarum), resulting from biomonitoring survey acquired from French water agencies in 2019. These data were used in the research paper :""Caged Gammarus fossarum (Crustacea) for the assessment of bioavailable contamination levels in continental waters: a national deployment.""","2024-07-12T14:33:29Z","RIVERLY","RECOURA-MASSAQUANT, REMI, 2024, ""Dataset associated to &quot;Caged Gammarus fossarum (Crustacea) for the assessment of bioavailable contamination levels in continental waters: a national deployment&quot;"", <a href=""https://doi.org/10.57745/MYYIIM"" target=""_blank"">https://doi.org/10.57745/MYYIIM</a>, Recherche Data Gouv, V1","riverly","RIVERLY","RECOURA-MASSAQUANT, REMI, 2024, ""Dataset associated to ""Caged Gammarus fossarum (Crustacea) for the assessment of bioavailable contamination levels in continental waters: a national deployment"""", https://doi.org/10.57745/MYYIIM, Recherche Data Gouv, V1","inrae://10.57745/MYYIIM","Gammarus; Active biomonitoring; chemical contamination","Earth and Environmental Sciences",2,272771,"RELEASED",1,0,"2024-07-04T15:02:18Z","2025-03-05T10:30:33Z","RECOURA-MASSAQUANT, REMI; INRAE","Rémi Recoura-Massaquant, Olivier PERCEVAL, Dorothée BOLZAN, Xavier BOURRAIN, Jean Pierre REBILLARD, Lionel NAVARRO, Miguel NICOLAI, Baptiste CASTEROT, Arnaud Chaumot, Marina Coquery, Olivier Geffard, (2024) ""Caged Gammarus fossarum (Crustacea) for the assessment of bioavailable contamination levels in continental waters: a national deployment""","","","RECOURA-MASSAQUANT, REMI","",61,38,3,1,1075061,0.001
"FYRE Hydro","dataset","https://doi.org/10.57745/AKAFYC","doi:10.57745/AKAFYC","The hydrological reanalysis over France – called FYRE Hydro (French hYdrometeorological REanalysis Hydro) – provides daily ensemble streamflow over 661 near-natural catchments of France over the 1871-2012 period. The reanalysis is built by assimilating daily discharge observations into the hydrological reconstructions through an offline Ensemble Square Root Filter -- a modified Ensemble Kalman Filter.","2023-02-01T14:36:44Z","RIVERLY","Devers, Alexandre; Vidal, Jean-Philippe; Lauvernet, Claire; Vannier, Olivier; Caillouet, Laurie, 2023, ""FYRE Hydro"", <a href=""https://doi.org/10.57745/AKAFYC"" target=""_blank"">https://doi.org/10.57745/AKAFYC</a>, Recherche Data Gouv, V1","riverly","RIVERLY","Devers, Alexandre; Vidal, Jean-Philippe; Lauvernet, Claire; Vannier, Olivier; Caillouet, Laurie, 2023, ""FYRE Hydro"", https://doi.org/10.57745/AKAFYC, Recherche Data Gouv, V1","inrae://10.57745/AKAFYC","reanalysis, hydrology, france","Earth and Environmental Sciences",5,266302,"RELEASED",1,0,"2023-02-01T09:48:04Z","2023-02-01T14:36:44Z","Devers, Alexandre; INRAE, UR RiverLy, Lyon-Villeurbanne","Alexandre Devers. Vers une réanalyse hydrométéorologique à l'échelle de la France sur les 150 dernières années par assimilation de données dans des reconstructions ensemblistes. Hydrologie. Université Grenoble Alpes, 2019. Français.; https://theses.hal.science/tel-02506254","","","Devers, Alexandre; Vidal, Jean-Philippe; Lauvernet, Claire; Vannier, Olivier; Caillouet, Laurie","",415,197,101,20,3704759055,3.45
"HydREM","dataset","https://doi.org/10.57745/938OJU","doi:10.57745/938OJU","The hydrological reconstruction over France – called HydREM (Hydrological REconstruction with Model error) – provides daily ensemble streamflow over 661 near-natural catchments of France over the 1871-2012 period. The HydREM reconstruction are build upon the HydRE reconstruction with the addition of an hydrological model error based on the relative discrepancies between observed and simulated streamflow.","2023-02-01T14:37:34Z","RIVERLY","Devers, Alexandre; Vidal, Jean-Philippe; Claire, Lauvernet; Olivier, Vannier, 2023, ""HydREM"", <a href=""https://doi.org/10.57745/938OJU"" target=""_blank"">https://doi.org/10.57745/938OJU</a>, Recherche Data Gouv, V1","riverly","RIVERLY","Devers, Alexandre; Vidal, Jean-Philippe; Claire, Lauvernet; Olivier, Vannier, 2023, ""HydREM"", https://doi.org/10.57745/938OJU, Recherche Data Gouv, V1","inrae://10.57745/938OJU","reconstruction, hydrology, france","Earth and Environmental Sciences",5,266301,"RELEASED",1,0,"2023-02-01T09:40:16Z","2023-02-01T14:37:34Z","Devers, Alexandre; INRAE","Alexandre Devers. Vers une réanalyse hydrométéorologique à l'échelle de la France sur les 150 dernières années par assimilation de données dans des reconstructions ensemblistes. Hydrologie. Université Grenoble Alpes, 2019. Français.; https://theses.hal.science/tel-02506254","","","Devers, Alexandre; Vidal, Jean-Philippe; Claire, Lauvernet; Olivier, Vannier","",268,164,39,12,3704759056,3.45
