EXP,HM,coverage1,coverage2,url1,doi1,citation1,url2,doi2,citation2
historical-rcp26,CTRIP,France entière,,https://doi.org/10.57745/2CCO2G,10.57745/2CCO2G,"Munier, Simon, 2025, ""Projections hydrologiques Explore2 du débit pour le modèle CTRIP sous RCP 2.6""",https://doi.org/10.57745/1Q16QQ,10.57745/1Q16QQ,"Héraut, Louis, 2025, ""Indicateurs de séries annuelles issus des projections hydrologiques Explore2 du débit pour le modèle CTRIP sous RCP 2.6"""
historical-rcp26,EROS,Bretagne,Loire,https://doi.org/10.57745/BIVISG,10.57745/BIVISG,"Vergnes, Jean-Pierre, 2025, ""Projections hydrologiques Explore2 du débit pour le modèle EROS sous RCP 2.6""",https://doi.org/10.57745/XRWOZF,10.57745/XRWOZF,"Héraut, Louis, 2025, ""Indicateurs de séries annuelles issus des projections hydrologiques Explore2 du débit pour le modèle EROS sous RCP 2.6"""
historical-rcp26,GRSD,France entière,,https://doi.org/10.57745/M94DWV,10.57745/M94DWV,"Thirel, Guillaume; Perrin, Charles; Strohmenger, Laurent, 2025, ""Projections hydrologiques Explore2 du débit pour le modèle GRSD sous RCP 2.6""",https://doi.org/10.57745/7PQBLI,10.57745/7PQBLI,"Héraut, Louis, 2025, ""Indicateurs de séries annuelles issus des projections hydrologiques Explore2 du débit pour le modèle GRSD sous RCP 2.6"""
historical-rcp26,J2000,Loire,Rhône,https://doi.org/10.57745/9QQBUU,10.57745/9QQBUU,"Branger, Flora; Bonneau, Jérémie; Mimeau, Louise, 2025, ""Projections hydrologiques Explore2 du débit pour le modèle J2000 sous RCP 2.6""",https://doi.org/10.57745/FVSCX8,10.57745/FVSCX8,"Héraut, Louis, 2025, ""Indicateurs de séries annuelles issus des projections hydrologiques Explore2 du débit pour le modèle J2000 sous RCP 2.6"""
historical-rcp26,MORDOR-SD,France entière,,https://doi.org/10.57745/WINR1S,10.57745/WINR1S,"Le Lay, Matthieu; Gailhard, Joël, 2025, ""Projections hydrologiques Explore2 du débit pour le modèle MORDOR-SD sous RCP 2.6""",https://doi.org/10.57745/Q4FB9X,10.57745/Q4FB9X,"Héraut, Louis, 2025, ""Indicateurs de séries annuelles issus des projections hydrologiques Explore2 du débit pour le modèle MORDOR-SD sous RCP 2.6"""
historical-rcp26,MORDOR-TS,Loire,,https://doi.org/10.57745/RMOMGU,10.57745/RMOMGU,"Monteil, Céline; Hendrickx, Frédéric, 2025, ""Projections hydrologiques Explore2 du débit pour le modèle MORDOR-TS sous RCP 2.6""",https://doi.org/10.57745/QZPO38,10.57745/QZPO38,"Héraut, Louis, 2025, ""Indicateurs de séries annuelles issus des projections hydrologiques Explore2 du débit pour le modèle MORDOR-TS sous RCP 2.6"""
historical-rcp26,ORCHIDEE,France entière,,https://doi.org/10.57745/POA2RD,10.57745/POA2RD,"Ducharne, Agnès; Huang, Peng, 2025, ""Projections hydrologiques Explore2 du débit pour le modèle ORCHIDEE sous RCP 2.6""",https://doi.org/10.57745/WFSSPY,10.57745/WFSSPY,"Héraut, Louis, 2025, ""Indicateurs de séries annuelles issus des projections hydrologiques Explore2 du débit pour le modèle ORCHIDEE sous RCP 2.6"""
historical-rcp26,SIM2,France entière,,https://doi.org/10.57745/FGKSGW,10.57745/FGKSGW,"Rousset, Fabienne, 2025, ""Projections hydrologiques Explore2 du débit pour le modèle SIM2 sous RCP 2.6""",https://doi.org/10.57745/9YBXXV,10.57745/9YBXXV,"Héraut, Louis, 2025, ""Indicateurs de séries annuelles issus des projections hydrologiques Explore2 du débit pour le modèle SIM2 sous RCP 2.6"""
historical-rcp26,SMASH,France entière,,https://doi.org/10.57745/UEIJI8,10.57745/UEIJI8,"Patrick, Arnaud; Colléoni, François; Garambois, Pierre-André, 2025, ""Projections hydrologiques Explore2 du débit pour le modèle SMASH sous RCP 2.6""",https://doi.org/10.57745/WAAIB1,10.57745/WAAIB1,"Héraut, Louis, 2025, ""Indicateurs de séries annuelles issus des projections hydrologiques Explore2 du débit pour le modèle SMASH sous RCP 2.6"""
historical-rcp45,CTRIP,France entière,,https://doi.org/10.57745/OUVNZY,10.57745/OUVNZY,"Munier, Simon, 2025, ""Projections hydrologiques Explore2 du débit pour le modèle CTRIP sous RCP 4.5""",https://doi.org/10.57745/CQWBOV,10.57745/CQWBOV,"Héraut, Louis, 2025, ""Indicateurs de séries annuelles issus des projections hydrologiques Explore2 du débit pour le modèle CTRIP sous RCP 4.5"""
