"name","type","url","dataset_DOI","description","published_at","publisher","citationHtml","identifier_of_dataverse","name_of_dataverse","citation","storageIdentifier","keywords","subjects","fileCount","versionId","versionState","majorVersion","minorVersion","createdAt","updatedAt","contacts","producers","authors","publications","geographicCoverage","viewsTotal","viewsUnique","downloadsTotal","downloadsUnique","storage_size_bytes","storage_size_GB"
"Projections climatiques régionalisées : correction de biais et changements futurs","dataset","https://doi.org/10.57745/KXRB5B","doi:10.57745/KXRB5B","Le volet climat d’Explore2 a pour objectif de produire, évaluer et analyser des données atmosphériques à haute résolution, corrigées de leurs biais, qui couvrent la période historique et les décennies futures jusqu’en 2100. Celles‐ci ont vocation à alimenter des projections hydro‐climatiques. Le rapport présente les méthodes appliquées pour l'élaboration de ces données.","2024-06-28T09:17:07Z","Explore2 - Rapports techniques","Robin, Yoann; Corre, Lola; Marson, Paola; Bernus, S&eacute;bastien; Vrac, Mathieu; Thao, Soulivanh, 2024, ""Projections climatiques r&eacute;gionalis&eacute;es : correction de biais et changements futurs"", <a href=""https://doi.org/10.57745/KXRB5B"" target=""_blank"">https://doi.org/10.57745/KXRB5B</a>, Recherche Data Gouv, V1","explore2-rapports_techniques","Explore2 - Rapports techniques","Robin, Yoann; Corre, Lola; Marson, Paola; Bernus, Sébastien; Vrac, Mathieu; Thao, Soulivanh, 2024, ""Projections climatiques régionalisées : correction de biais et changements futurs"", https://doi.org/10.57745/KXRB5B, Recherche Data Gouv, V1","inrae://10.57745/KXRB5B","climat régional; projection; correction de biais; hydrologie","Earth and Environmental Sciences",2,271913,"RELEASED",1,0,"2024-05-31T16:56:06Z","2024-06-28T09:17:07Z","Sauquet, Éric; INRAE, UR RiverLy, Villeurbanne, France","Explore2","Robin, Yoann; Corre, Lola; Marson, Paola; Bernus, Sébastien; Vrac, Mathieu; Thao, Soulivanh","","",1048,416,195,109,37472444,0.035
"Notice de presentation des projections et incertitudes","dataset","https://doi.org/10.57745/NU9MZI","doi:10.57745/NU9MZI","Ce document a pour objectif d’exposer les concepts des analyses d’incertitudes faites avec l’ensemble de projections hydroclimatiques d’Explore2 et d’illustrer les représentations graphiques qui seront produites pour caractériser l’évolution future de différents indicateurs hydroclimatiques telle que projetée dans cet ensemble. La méthode d’analyse fait appel à des méthodes statistiques avancées, qui permettent de produire différents types de résultats et de représentations graphiques.","2024-06-28T09:03:41Z","Explore2 - Rapports techniques","Reverdy, Alix; &Eacute;vin, Guillaume; Hingray, Beno&icirc;t, 2024, ""Notice de presentation des projections et incertitudes"", <a href=""https://doi.org/10.57745/NU9MZI"" target=""_blank"">https://doi.org/10.57745/NU9MZI</a>, Recherche Data Gouv, V1","explore2-rapports_techniques","Explore2 - Rapports techniques","Reverdy, Alix; Évin, Guillaume; Hingray, Benoît, 2024, ""Notice de presentation des projections et incertitudes"", https://doi.org/10.57745/NU9MZI, Recherche Data Gouv, V1","inrae://10.57745/NU9MZI","","Earth and Environmental Sciences",2,272695,"RELEASED",1,3,"2024-05-31T15:09:32Z","2024-07-01T16:11:22Z","Évin, Guillaume; INRAE, UMR IGE, Grenoble, France","Explore2","Reverdy, Alix; Évin, Guillaume; Hingray, Benoît","","",585,324,98,52,3767346,0.004
"Ensemble de projections Explore2 : Changements moyens et incertitudes associées","dataset","https://doi.org/10.57745/KWH320","doi:10.57745/KWH320","Le projet Explore2 a produit un large ensemble de projections hydroclimatiques multi-scénarios et multi-modèles pour la France métropolitaine (appelé par la suite ensemble Explore2) sur la base des projections climatiques régionales du programme international EURO-CORDEX. Cet ensemble a été obtenu avec 3 scénarios d’émission de gaz à effet de serre (scénarios RCP2.6, RCP4.5 et RCP8.5), 17 chaînes de modélisation climatiques, 2 modèles de correction de biais et 4 à 9 modèles hydrologiques (jusqu’à 648 projections). Les projections climatiques au sens large sont, pour la majeure partie des variables hydrométéorologiques, fortement incertaines. Ces incertitudes résultent de différents types d’incertitudes qui se propagent et s’amplifient dans la chaîne de modélisation : les incertitudes liées au choix du scénario d’émission, les incertitudes liées aux modélisations (au Modèle de Climat Global GCM, au Modèle de Climat Régional RCM, au Modèle de Correction de biais BC, au Modèle Hydrologique HM) et les incertitudes liées à la variabilité interne du climat. Les objectifs du présent rapport sont : de présenter les différentes sources d’incertitude associées à l’ensemble Explore2, de présenter QUALYPSO, la méthode d’analyse développée pour caractériser ce type d’ensemble et, de présenter les résultats des analyses réalisées avec l’ensemble Explore2 pour les projections du climat régional et de débits des rivières françaises. Différents variables et indicateurs sont considérés : température moyenne, cumul de précipitation et évapotranspiration, en moyenne à l’échelle des saisons estivales et hivernales ; débit annuel, débit journalier maximum annuel, débit mensuel minimal de chaque année pour différents bassins versants. Pour caractériser l’ensemble de projections produit pour la variable ou l’indicateur considéré, nous estimons : la moyenne d’ensemble, l’incertitude totale associée à cet ensemble, ainsi que les projections basses et hautes, la contribution des différentes sources d’incertitude à cette incertitude totale, en particulier les incertitudes dues à la chaîne de modélisation et les incertitudes dues à la variabilité interne du climat, les effets principaux de chaque modèle individuel et leur contribution à l’incertitude totale. Les analyses pour les variables climatiques couvrent le territoire français métropolitain. Elles sont réalisées en tout point de grille de la grille SAFRAN (8 km x 8 km). Les analyses pour les indicateurs hydrologiques sont produites pour un large nombre de bassins versants. Les résultats sont présentés sous forme cartographique pour différents horizons temporels (futur proche, milieu de siècle, fin de siècle) et sous forme chronologique pour différents bassins versants illustratifs. Les premières représentations permettent d’apprécier la variabilité spatiale des estimations sur le territoire français, les secondes permettent d’apprécier leur évolution temporelle sur le siècle à venir. Ces analyses fournissent une appréciation approfondie des évolutions projetées dans l’ensemble Explore2. Il est cependant important de mentionner que les résultats présentés sont conditionnels à cet ensemble, et donc au choix des scénarios et des modèles utilisés. Aucun des scénarios RCP ne se réalisera à l’identique et les modèles sont tous des représentations simplifiées et imparfaites des systèmes physiques réels (climat, cycle hydrologique). De ce fait, et ceci est valable quel que soit l’ensemble considéré, il ne faut pas donner à la moyenne d’ensemble et à la plage d’incertitude estimées une valeur qu’elles n’ont pas. En particulier, la plage d’incertitude ne correspond pas à la plage des incertitudes réelles. Même si elle peut en donner une idée, elle ne couvre pas nécessairement le futur qui se réalisera dans les décennies à venir. Malgré tout, la connaissance de ces incertitudes devrait permettre d’imaginer des adaptations plus robustes aux changements à venir.","2024-07-02T11:35:00Z","Explore2 - Rapports techniques","&Eacute;vin, Guillaume; Hingray, Beno&icirc;t; Reverdy, Alix; Ducharne, Agn&egrave;s; Sauquet, &Eacute;ric, 2024, ""Ensemble de projections Explore2 : Changements moyens et incertitudes associ&eacute;es"", <a href=""https://doi.org/10.57745/KWH320"" target=""_blank"">https://doi.org/10.57745/KWH320</a>, Recherche Data Gouv, V2","explore2-rapports_techniques","Explore2 - Rapports techniques","Évin, Guillaume; Hingray, Benoît; Reverdy, Alix; Ducharne, Agnès; Sauquet, Éric, 2024, ""Ensemble de projections Explore2 : Changements moyens et incertitudes associées"", https://doi.org/10.57745/KWH320, Recherche Data Gouv, V2","inrae://10.57745/KWH320","incertitude; projection; climat; hydrologie","Earth and Environmental Sciences",2,272703,"RELEASED",2,0,"2024-07-01T14:45:14Z","2024-07-02T11:35:00Z","Sauquet, Éric; INRAE, UR RiverLy, Villeurbanne, France","Explore2","Évin, Guillaume; Hingray, Benoît; Reverdy, Alix; Ducharne, Agnès; Sauquet, Éric","","",1927,754,391,222,69555794,0.065
"Production de projections hydro-climatiques en Outre-Mer","dataset","https://doi.org/10.57745/9RYY9O","doi:10.57745/9RYY9O","L’objectif du projet Explore2 est de donner à voir le climat et l’hydrologie naturelle futurs, à horizon 2100, sur une maille de 8 km x 8 km ; en se basant sur les résultats du 5ème rapport du GIEC et en utilisant une approche multi-modèles et multi-scénario pour assurer la robustesse scientifique de l’exercice et pouvoir associer des incertitudes aux simulations calculées. Etant donné le retour d’expériences du projet Explore 2070 sur les territoires d’Outre-Mer (OM) et malgré les progrès faits depuis 10 ans, le projet Explore2 ne pourra pas produire de projections hydro climatiques à horizon 2100 sur les territoires ultra-marins, mais uniquement en France métropolitaine. La principale raison est l’existence d’un certain nombre de verrous scientifiques, comme le manque de données d’observation disponibles par exemple, indispensables à la validation des modèles utilisés ; des explications détaillées sont présentées en section 3 de ce rapport. Il a été proposé, dans le cadre du projet Explore2, d’établir une feuille de route pour les territoires ultra-marins afin de remédier à la situation et de pouvoir programmer, dès que possible dans les années à venir, la réalisation d’un exercice scientifiquement robuste du type Explore2 dans chacun de ces territoires. Afin de permettre l’élaboration de ces feuilles de route, nous avons commencé notre « Zoom Outre-Mer » du projet Explore2 par la réalisation de ce rapport de connaissances comportant trois principales parties : - Recueil de connaissances dans les territoires ultra-marins des projets ayant été menés ou encore en cours sur le thème « adaptation au changement climatique et gestion des ressources en eau » (section 2, page 8) ; ce travail a été réalisé par une médiatrice scientifique de l’OiEau sur la base de recherches bibliographiques et d’interviews ciblées de porteurs de projets en OM, - Analyse des freins actuels à la réalisation d’un exercice de type Explore2 en OM (section 3, page 14) ; ce travail a été réalisé par le coordinateur du volet scientifique d’Explore 2 d’INRAE, - Perspectives pour établir des feuilles de route pour chaque territoire ultra-marins, en vue de l’élaboration de projections hydro-climatiques dans ces territoires (section 4, page 19) ; ce travail sera mené par la coordinatrice du volet « Accompagnement des acteurs » d’Explore2 de l’OiEau.","2024-06-28T09:05:27Z","Explore2 - Rapports techniques","Siauve, Sonia; Dijoux, Salom&eacute;; Bornancin-Plantier, Audrey; Sauquet, &Eacute;ric, 2024, ""Production de projections hydro-climatiques en Outre-Mer"", <a href=""https://doi.org/10.57745/9RYY9O"" target=""_blank"">https://doi.org/10.57745/9RYY9O</a>, Recherche Data Gouv, V1","explore2-rapports_techniques","Explore2 - Rapports techniques","Siauve, Sonia; Dijoux, Salomé; Bornancin-Plantier, Audrey; Sauquet, Éric, 2024, ""Production de projections hydro-climatiques en Outre-Mer"", https://doi.org/10.57745/9RYY9O, Recherche Data Gouv, V1","inrae://10.57745/9RYY9O","département d'outre-mer; projections hydro-climatiques; connaissances et freins","Earth and Environmental Sciences",1,271902,"RELEASED",1,0,"2024-05-31T13:51:01Z","2024-06-28T09:05:27Z","Sauquet, Éric; INRAE, UR RiverLy, Villeurbanne, France","Explore2","Siauve, Sonia; Dijoux, Salomé; Bornancin-Plantier, Audrey; Sauquet, Éric","","",249,176,28,25,1199911,0.001
"Notice de lecture des fiches « diagnostic » des modeles hydrologiques","dataset","https://doi.org/10.57745/MDHS0D","doi:10.57745/MDHS0D","Un diagnostic des modèles hydrologiques mobilisés dans le projet Explore2 a fait l’objet d’un rapport détaillé (Sauquet et al., 2023). L’objectif n’était pas de mettre en compétition les modèles hydrologiques mais bien d’aider, autant que possible, à faire un choix éclairé sur le groupement de modèles à privilégier pour caractériser le devenir des caractéristiques hydrologiques d’un cours d’eau sous un climat modifié. Ces diagnostics reposent sur une sélection de critères numériques qui permettent d’évaluer la capacité des modèles à reconstituer les différentes phases des régimes hydrologiques et à fournir des débits fiables en extrapolation spatiale (en dehors des points d’évaluation). Des fiches de synthèse ont été établies aux points d’évaluation (uniquement pour les débits) et à l’échelle régionale (pour les débits et les hauteurs piézométriques) et sont téléchargeables sur le portail DRIAS les futurs de l’eau (https://www.drias-eau.fr). Ce document a pour objectifs : • d’exposer brièvement le contenu technique des fiches « diagnostic » et de faciliter l’interprétation des graphiques et critères numériques calculés, • d’identifier les secteurs et les types de cours d’eau où les modèles semblent moins performants.","2024-06-28T09:03:37Z","Explore2 - Rapports techniques","Sauquet, &Eacute;ric; H&eacute;raut, Louis, 2024, ""Notice de lecture des fiches &laquo; diagnostic &raquo; des modeles hydrologiques"", <a href=""https://doi.org/10.57745/MDHS0D"" target=""_blank"">https://doi.org/10.57745/MDHS0D</a>, Recherche Data Gouv, V1","explore2-rapports_techniques","Explore2 - Rapports techniques","Sauquet, Éric; Héraut, Louis, 2024, ""Notice de lecture des fiches « diagnostic » des modeles hydrologiques"", https://doi.org/10.57745/MDHS0D, Recherche Data Gouv, V1","inrae://10.57745/MDHS0D","modélisation hydrologique; critères de performance; observations","Earth and Environmental Sciences",1,271910,"RELEASED",1,0,"2024-05-31T16:12:47Z","2024-06-28T09:03:37Z","Sauquet, Éric; INRAE, UR RiverLy, Villeurbanne, France","Explore2","Sauquet, Éric; Héraut, Louis","","",387,188,65,56,2382644,0.002
"Identification de stations hydrométriques et piézomètres pour l’évaluation des modélisations hydrologiques et hydrogéologiques","dataset","https://doi.org/10.57745/DE9SPE","doi:10.57745/DE9SPE","Les modèles qui simulent des débits et des niveaux piézométriques en temps futur ont besoin d’être évalués en comparant de la manière la plus objective les données simulées en temps présent à des données observées sur un ensemble de points de mesure. Tous les points de mesure ne peuvent pas contribuer à cette évaluation. Les modèles mobilisés dans Explore2 simulent une ressource naturelle : le contrôle doit s’opérer là où l’empreinte anthropique est faible. Le rapport mentionne les modalités de sélection des séries journalières de débits et de niveaux piézométriques. Outre des critères de représentativité hydrologique, la sélection s’est appuyée sur des critères de longueur de chronique, des informations sur la qualité des mesures, des indicateurs de pression sur la ressource (prélèvements en eau) ou de potentielles perturbations (présence d’ouvrages hydrauliques en amont) et une expertise des usages sur les bassins versants ou à proximité de piézomètres. La sélection croise les informations disponibles dans les bases de données nationales (BNPE, HYDRO, ADES), internationale (AQUASTAT) ou constituées par les partenaires (EDF, INRAE). Les séries candidates de débits ont ensuite fait l’objet d’une ultime analyse de chaque série par deux individus (identification de données aberrantes par comparaison aux données de pluie et température, et aux sorties d’un modèle). Finalement, à la date du 1er juillet 2022, 611 séries de débits et 227 séries de niveau piézométrique ont été retenues pour évaluer les modèles hydrologiques.","2024-06-28T09:08:02Z","Explore2 - Rapports techniques","Sauquet, &Eacute;ric; Vergnes, Jean-Pierre; Thirel, Guillaume; Strohmenger, Laurent, 2024, ""Identification de stations hydrom&eacute;triques et pi&eacute;zom&egrave;tres pour l&rsquo;&eacute;valuation des mod&eacute;lisations hydrologiques et hydrog&eacute;ologiques"", <a href=""https://doi.org/10.57745/DE9SPE"" target=""_blank"">https://doi.org/10.57745/DE9SPE</a>, Recherche Data Gouv, V1","explore2-rapports_techniques","Explore2 - Rapports techniques","Sauquet, Éric; Vergnes, Jean-Pierre; Thirel, Guillaume; Strohmenger, Laurent, 2024, ""Identification de stations hydrométriques et piézomètres pour l’évaluation des modélisations hydrologiques et hydrogéologiques"", https://doi.org/10.57745/DE9SPE, Recherche Data Gouv, V1","inrae://10.57745/DE9SPE","réseau de référence; BNPE; HYDRO; AQUASTAT; ADES","Earth and Environmental Sciences",1,271914,"RELEASED",1,0,"2024-05-31T17:13:58Z","2024-06-28T09:08:02Z","Sauquet, Éric; INRAE, UR RiverLy, Villeurbanne, France","Explore2","Sauquet, Éric; Vergnes, Jean-Pierre; Thirel, Guillaume; Strohmenger, Laurent","","",404,225,57,49,3157112,0.003
"Points et supports de simulation des projections hydrologiques","dataset","https://doi.org/10.57745/RE6CDN","doi:10.57745/RE6CDN","Ce rapport décrit les supports de restitution des modèles impliqués dans le projet Explore2 : il s’agit des points des réseaux de référence établis pour l’évaluation des modèles appliqués dans le projet (Sauquet et al., 2022), de points positionnés le long du réseau hydrographique ou sur une grille définie par des modèles hydrogéologiques, et d’entités géographiques, i.e. des masses d’eau souterraine issues d’un découpage de l'ensemble du territoire national en unités hydrogéologiques homogènes. Ces supports de restitution ont été conçus pour répondre aux besoins d’une densité de sorties des modèles plus élevée que celle du précédent exercice Explore2070. Les points le long du réseau hydrographique ont été choisis pour répondre à des questionnements opérationnels ou des possibles utilisations futures (i.e. le devenir du régime au droit des points de gestion inscrits dans les SDAGEs ou des points actuels de suivi de la qualité des eaux). Les simulations de piézométrie seront fournies sur un ensemble de piézomètres identifiés dans les bases de données nationales et sur les points d’une grille régulière superposée au maillage préexistant des modèles hydrologiques. Le nombre de points de grille et d’entités a été limité dans un but de gestion raisonnée des bases de données et du futur portail DRIAS-Eau qui hébergera les projections hydrologiques.","2024-06-28T09:07:58Z","Explore2 - Rapports techniques","Sauquet, &Eacute;ric; Caballero, Yvan; Vergnes, Jean-Pierre; Aissat, Ryma, 2024, ""Points et supports de simulation des projections hydrologiques"", <a href=""https://doi.org/10.57745/RE6CDN"" target=""_blank"">https://doi.org/10.57745/RE6CDN</a>, Recherche Data Gouv, V1","explore2-rapports_techniques","Explore2 - Rapports techniques","Sauquet, Éric; Caballero, Yvan; Vergnes, Jean-Pierre; Aissat, Ryma, 2024, ""Points et supports de simulation des projections hydrologiques"", https://doi.org/10.57745/RE6CDN, Recherche Data Gouv, V1","inrae://10.57745/RE6CDN","modélisation; point; maillage; hydrologie; hydrogéologie","Earth and Environmental Sciences",1,271915,"RELEASED",1,0,"2024-05-31T17:20:14Z","2024-06-28T09:07:58Z","Sauquet, Éric; INRAE, UR RiverLy, Villeurbanne, France","Explore2","Sauquet, Éric; Caballero, Yvan; Vergnes, Jean-Pierre; Aissat, Ryma","","",366,201,60,52,2125658,0.002
"Étude d’impact du changement climatique sur le régime hydrologique en France métropolitaine – synthèse bibliographique","dataset","https://doi.org/10.57745/XKMLMG","doi:10.57745/XKMLMG","Explore2070 (2010-2012) est la première étude prospective nationale sur l’impact du changement climatique sur la ressource en eau. Outre la fourniture de données hydro-climatiques pour l’horizon 2050-2070, Explore2070 a produit un état des connaissances et des travaux existants sur la question de l'impact du changement climatique sur les eaux de surface en France. Ce rapport est une mise à jour des connaissances acquises depuis la fin d’Explore2070. Les études ont été identifiées pour l’essentiel dans les journaux scientifiques. Nous avons complété le panorama des études sur les eaux de surface par un inventaire de celles dédiées aux eaux souterraines réalisées depuis la fin du projet Explore2070 en privilégiant aussi les articles de revues scientifiques. Cette synthèse sera exploitée ultérieurement pour mettre en perspective les résultats d’Explore2.","2024-06-28T09:07:53Z","Explore2 - Rapports techniques","Sauquet, &Eacute;ric; Thirel, Guillaume; Vergnes, Jean-Pierre; Habets, Florence, 2024, ""&Eacute;tude d&rsquo;impact du changement climatique sur le r&eacute;gime hydrologique en France m&eacute;tropolitaine &ndash; synth&egrave;se bibliographique"", <a href=""https://doi.org/10.57745/XKMLMG"" target=""_blank"">https://doi.org/10.57745/XKMLMG</a>, Recherche Data Gouv, V1","explore2-rapports_techniques","Explore2 - Rapports techniques","Sauquet, Éric; Thirel, Guillaume; Vergnes, Jean-Pierre; Habets, Florence, 2024, ""Étude d’impact du changement climatique sur le régime hydrologique en France métropolitaine – synthèse bibliographique"", https://doi.org/10.57745/XKMLMG, Recherche Data Gouv, V1","inrae://10.57745/XKMLMG","modélisation hydrologique; incertitude; débit de cours d'eau; RCP","Earth and Environmental Sciences",1,271916,"RELEASED",1,0,"2024-05-31T17:46:18Z","2024-06-28T09:07:53Z","Sauquet, Éric; INRAE, UR RiverLy, Villeurbanne, France","Explore2","Sauquet, Éric; Thirel, Guillaume; Vergnes, Jean-Pierre; Habets, Florence","","",482,234,105,89,4037283,0.004
"Rapport de synthèse sur les projections climatiques régionalisées","dataset","https://doi.org/10.57745/PUR7ML","doi:10.57745/PUR7ML","Ce deuxième rapport sur le climat vise à préciser les évolutions climatiques projetées par l’ensemble Explore2, caractériser les incertitudes et proposer des modes d’exploration de ces données. Dans un premier temps, les simulations individuelles sélectionnées à partir de l’ensemble EURO-CORDEX et corrigées par les méthodes ADAMONT et CDF-t sont évaluées selon des critères de changement en température et précipitation sur la France par rapport à l’ensemble CMIP6 complet au pas de temps saisonnier (hiver et été). La comparaison réalisée sur le scénario RCP8.5 à l’horizon fin de siècle met en évidence la concordance globale de ces simulations à l’exception de deux simulations hors de la dispersion CMIP6 en été (à la fois en température et précipitation). Le projet a décidé de rejeter ces deux simulations de l’ensemble final afin de pouvoir garantir une cohérence avec les changements proposés par CMIP6 sur la France. Une sélection de 17 couples GCM/RCM compose finalement l’ensemble baptisé « Explore2-2024 » dont les simulations (10 sous RCP2.6, 9 sous RCP4.5 et 17 sous RCP8.5) seront corrigées par les méthodes ADAMONT et CDF-t. Au-delà d'une caractérisation statistique des propriétés de l'ensemble Explore2-2024, un travail a également été mené pour identifier des simulations particulières proposant des futurs climatiques contrastés sur la France. Cette approche narrative ou « storyline » en anglais a conduit à sélectionner de manière experte quatre simulations pour leurs impacts attendus sur l’hydrologie. Il est à noter que cette sélection a aussi été comparée aux résultats d’une approche objective par classification hiérarchique ascendante (fournie en Annexe 1). Une grande partie de ce livrable est consacrée à l’analyse des évolutions climatiques proposées par l’ensemble Explore2-2024 à partir d’une liste synthétique d’indicateurs climatiques d’intérêt pour l’hydrologie. Les incertitudes sur les changements projetés sont évaluées selon des critères de robustesse pour chaque simulation et d’accord de signe pour l’ensemble. Pour chaque indicateur, des cartes des paramètres de distribution (médiane, min et max) sont fournies en identifiant pour chaque maille les simulations de l’ensemble portant ce signal. Les figures et tableaux de valeur (pour les changements France entière, moitié Nord, moitié Sud) sont aussi complétés par des commentaires donnant les messages clé sur les évolutions attendues. Un chapitre spécifique est proposé pour l’analyse des quatre narratifs sélectionnés par le projet avec des visualisations synthétiques, mettant en avant la variabilité inter annuelle en complément des moyennes par horizon. L’ensemble des ressources graphiques est produit sur les simulations corrigées par les deux méthodes ADAMONT et CDF-t, avec une analyse des écarts par indicateur réalisée séparément sur les deux jeux de données (fournis en Annexe 2).","2024-06-28T09:18:38Z","Explore2 - Rapports techniques","Marson, Paola; Corre, Lola; Soubeyroux, Jean-Michel; Sauquet, &Eacute;ric, 2024, ""Rapport de synth&egrave;se sur les projections climatiques r&eacute;gionalis&eacute;es"", <a href=""https://doi.org/10.57745/PUR7ML"" target=""_blank"">https://doi.org/10.57745/PUR7ML</a>, Recherche Data Gouv, V1","explore2-rapports_techniques","Explore2 - Rapports techniques","Marson, Paola; Corre, Lola; Soubeyroux, Jean-Michel; Sauquet, Éric, 2024, ""Rapport de synthèse sur les projections climatiques régionalisées"", https://doi.org/10.57745/PUR7ML, Recherche Data Gouv, V1","inrae://10.57745/PUR7ML","climat; modélisation; température; précipitation atmosphérique; évapotranspiration","Earth and Environmental Sciences",1,271918,"RELEASED",1,0,"2024-05-31T18:03:25Z","2024-06-28T09:18:38Z","Sauquet, Éric; INRAE, UR RiverLy, Villeurbanne, France","Explore2","Marson, Paola; Corre, Lola; Soubeyroux, Jean-Michel; Sauquet, Éric","","",2249,743,460,353,16554677,0.015
"Projections hydrologiques souterraines sur le domaine de la plateforme aquifr – Nord Pas-De-Calais, Basse-Normandie, Bassin parisien, Loire, Poitou-Charentes, Alsace, Tarn-Et-Garonne","dataset","https://doi.org/10.57745/ZXR4PS","doi:10.57745/ZXR4PS","Dans un contexte de stress hydrique croissant face au changement climatique en cours, l’évaluation de l’évolution de la ressource en eaux souterraines est devenue de nos jours un enjeu majeur pour les gestionnaires de l’eau. Ce rapport vise à évaluer les impacts du changement climatique sur les eaux souterraines de la France métropolitaine au cours du XXIe siècle. Le domaine spatial traité avec la plateforme AquiFR se situe majoritairement dans le nord de la France le long de la ligne reliant la Vendée, la Bretagne et le Bassin parisien, jusqu'à la région Nord Pas-de-Calais (nouvellement Hauts-de-France). Deux applications sont situées couvrant deux zones d'environ 1000 km2 au nord de Mulhouse et en Tarn-et-Garonne.","2024-06-28T09:17:29Z","Explore2 - Rapports techniques","Jeantet, Alexis; Vergnes, Jean-Pierre; Munier, Simon; Habets, Florence, 2024, ""Projections hydrologiques souterraines sur le domaine de la plateforme aquifr &ndash; Nord Pas-De-Calais, Basse-Normandie, Bassin parisien, Loire, Poitou-Charentes, Alsace, Tarn-Et-Garonne"", <a href=""https://doi.org/10.57745/ZXR4PS"" target=""_blank"">https://doi.org/10.57745/ZXR4PS</a>, Recherche Data Gouv, V1","explore2-rapports_techniques","Explore2 - Rapports techniques","Jeantet, Alexis; Vergnes, Jean-Pierre; Munier, Simon; Habets, Florence, 2024, ""Projections hydrologiques souterraines sur le domaine de la plateforme aquifr – Nord Pas-De-Calais, Basse-Normandie, Bassin parisien, Loire, Poitou-Charentes, Alsace, Tarn-Et-Garonne"", https://doi.org/10.57745/ZXR4PS, Recherche Data Gouv, V1","inrae://10.57745/ZXR4PS","modélisation; hydrogéologie; AquiFR; impact du changement climatique; SPLI","Earth and Environmental Sciences",1,272571,"RELEASED",1,0,"2024-06-23T11:35:07Z","2024-06-28T09:17:29Z","Vergnes, Jean-Pierre; BRGM","Explore2","Jeantet, Alexis; Vergnes, Jean-Pierre; Munier, Simon; Habets, Florence","","",648,300,134,114,7065157,0.007
