"dataset_DOI","url","name","citation","description","identifier_of_dataverse","subjects","keywords","fileCount","createdAt","authors","viewsTotal","viewsUnique","downloadsTotal","downloadsUnique","storage_size_bytes","storage_size_GB"
"doi:10.57745/OHWLEC","https://doi.org/10.57745/OHWLEC","Données d'humidité et température du sol sur le bassin versant de l'Yzeron (depuis 2018)","Branger, Flora; Lagouy, Mickaël, 2024, ""Données d'humidité et température du sol sur le bassin versant de l'Yzeron (depuis 2018)"", https://doi.org/10.57745/OHWLEC, Recherche Data Gouv, V1","Données d'humidité et température du sol sur le bassin versant de l'Yzeron (depuis 2018). Données en continu, sur 2 sites (occupation du sol = prairie), à 3 profondeurs (10, 30 et 60 cm). Sondes Campbell CS655.","inrae","Earth and Environmental Sciences","soil moisture; soil temperature",0,"2024-07-25T15:40:23Z","Branger, Flora; Lagouy, Mickaël",455,151,0,0,0,0
"doi:10.17180/obs.haute-loire","https://doi.org/10.17180/obs.haute-loire","Jeu de données issu de l'observatoire hydrologique Haute-Loire","Madigou, Céline; Albert, Marie-Bernadette; Navratil, Oldrich; Ribot-Bruno, José; Thollet, Fabien, 2024, ""Jeu de données issu de l'observatoire hydrologique Haute-Loire"", https://doi.org/10.17180/obs.haute-loire, Recherche Data Gouv, V1","Le sujet d'étude de l'observatoire Haute Loire était l'impact de l’entretien de la végétation rivulaire et du bois mort sur les communautés biologiques et la morphologie des cours d’eau. Cette étude a démarré en 1999 pour se terminer en 2002. Deux stations de mesures étaient suivies : sur la Cronce, affluent de l'Allier et le Doulon, sous-affluent de l'Allier. Sur chaque cours d’eau, trois secteurs représentatifs du tronçon (d’une longueur de 1 km environ) étaient délimités : un « secteur embâcles », où le bois mort accumulé dans le lit fut retiré ; un « secteur ripisylve », où à l’inverse l’intervention s'est faite uniquement sur la végétation rivulaire ; enfin, « un secteur témoin », sur lequel aucune intervention n'a été réalisée pendant la durée de l’étude.","BDOH","Earth and Environmental Sciences","hydrology; bassin versant expérimental; aquatic fauna; écosystème ripisylve; vegetation; down woody debris; geomorphology",0,"2024-10-16T15:41:29Z","Madigou, Céline; Albert, Marie-Bernadette; Navratil, Oldrich; Ribot-Bruno, José; Thollet, Fabien",14,12,0,0,0,0
"doi:10.17180/obs.ohm-cv.ardeche","https://doi.org/10.17180/obs.ohm-cv.ardeche","Suivi hydrométrique par mesure vidéo sur le bassin versant de l'Ardèche","Dramais, Guillaume; Le Coz, Jérôme; Buffet, Alexis; Le Boursicaud, Raphaël; Gallavardin, Antoine; Rambeau, Claire; Benmamar, Driss; Hauet, Alexandre, 2024, ""Suivi hydrométrique par mesure vidéo sur le bassin versant de l'Ardèche"", https://doi.org/10.17180/obs.ohm-cv.ardeche, Recherche Data Gouv, V1","L'Observatoire Hydro-météorologique Méditerranéen Cévennes-Vivarais vise à fédérer les compétences de chercheurs de disciplines variées (météorologie, hydrologie, géophysique, géographie, mathématiques appliquées, socio-économie... ) pour améliorer les connaissances et les capacités de prévision du risque hydro-météorologique associé aux pluies intenses et aux crues éclairs. Plusieurs instituts et laboratoires contribuent à l'acquisition de données météorologiques et hydrologiques: La contribution de l'Irstea de Lyon consiste à mettre en service et assurer la maintenance et continuer le développement d'un réseau de stations de mesures sans contact du débit des rivières (mesure des vitesses de surface par la méthode LSPIV, et mesures de hauteur d'eau par capteur radar) sur le bassin versant de l'Ardèche. La contribution de l'Ecole des Mines d'Alès et de l'UMR Espace consiste à instrumenter et suivre plusieurs petits bassins versants cévenols: Valescure, Tourgueille, Avène (bassin du Gard), Cèze, Mont-Lozère (bassin du Tarn), et Basse Cévenne Calcaire. La contribution du LTHE concerne les bassins du Gazel et de la Claduègne (BV Ardèche), sur lesquels sont réalisés des suivis de hauteur limnimétrique, vitesse de surface, débit, turbidité, conductivité et température de l'eau. Sites expérimentaux Ardèche Mesures des débits de crue par analyse d'image sur le bassin versant de l'Ardèche Avène Bassins du piemont alésien : Avène amont : 2012-actuel -10 km2 -275-535 m alt.– géologie : houiller et calcaire (karst) – largement boisé (chêne vert) Avene aval : 2012-actuel –- 60 km2- 110-535 - géologie : dominante marno calcaire – espace agricole en voie d’urbanisation- Equipement : station non aménagée – 1 (2) limnigraphes – pluviographes à proximité : Les Mathieux (St julien les Rosiers) et St Christol-lez Alès Basse Cévenne Calcaire Système karstique du piémont alésien (une des têtes du bassin du Grabieux). 2011-actuel. alt. 200-356 m. géologie: calcaires jurassiques. végétation: boisement de chêne vert dominant exploité extensivement- 4 stations souterraines, 1 résurgence, 1 vallon sec. 1 pluviographe. mesures: niveau, (débit), pluie, température, conductivité Cèze Pas de description disponible Gazel - Claduègne Système d’observations hydrométéorologiques et hydro-sédimentaires centré sur trois bassins versants emboités : Gazel, Claduègne, Auzon (respectivement 3,4, 43, et 116 km²). Climat méditerranéen avec des précipitations et des crues éclairs en automne. La partie supérieure du bassin versant se caractérise par des formations volcaniques tandis que les deux tiers inférieurs sont constitués de roche calcaire sédimentaire. Les types de sols sont fortement influencés par la géologie du bassin versant. Les principaux types d’usage des sols sont les pâturages, les vignes et la forêt. Mont-Lozère BVRE de moyenne montagne sub mediterranéenne - flanc sud du Mont Lozère (1150-1500 m alt.) -granite- BV Cloutasses: lande à genêt pâturage ovin - 0.81 km2 BV Latte: forêt ONF -épicéa coupé en 1987-198 9 puis nouvelle plantation (résineux dominants) - 0.20 km2 BV Sapine: forêt PnC (hêtraie 80 %) - 0.54 km2 BV Alignon: composite - granite/schistes- 14.5 km2 (depuis 1997) BV Goudesche: forestier -11.7 km2 (voir station DREAL) -1997-2003 suivi depuis 1981 - chroniques Climato (P, T, insolation,...); pluviométrie (5 sites); débits: 5 stations hydro Tourgueille Bassins versants cévenols - Crebades : 2012-actuel – 1 km2- forestier (reboisement résineux dominant); Lieure (reboisement et terrasses abandonnées: 2012- actuel – 3 km2 ; Roumegous : 2012-actuel -10 km2 – composite . Equipement : stations naturelles sujettes à détarage important sur la Lieure et à Roumegous - 1 (2) limnigraphes ; 1 pluviographe (Tourgueille) Valescure Bassin versant représentatif des Cévennes,compris entre 230 et 815 m alt.: géologie: granite dominant, gneiss et schistes- boisé à 98 % (châtaigner: 50 %, chêne vert:42 %; résineux:5%)- aménagements anciens : terrasses, traversiers et tancats (ouvrages en pierres sèches barrant les thalwegs ayant fait l'objet de restauration entre 2002 et 2006). 5 BV étudiés : Valescure aval 2003-actuel 3.93 km2; Abrits: 2003-actuel -0.63 km2 - gneiss dominant et schistes - nombreux tancats; Cartaou : 2003-actuel - 0.52 km2 -gneiss et granite - référence (sans restauration)- châtaigneraie; Bastide: 2004-actuel -0.27 km2 -chênes verts et châtaigners; Valescure amont: 2005-actuel - 0.93 km2 -forestier; matériel géré par ESPACE: 5 limnigraphes - 2 pluviographes -1 station climatologique - 1 station TDR (2005-2010)","BDOH","Earth and Environmental Sciences","hydrology; bassin versant expérimental; flash flood; hydrometry; velocimetrie par image de particules",0,"2024-10-16T16:19:44Z","Dramais, Guillaume; Le Coz, Jérôme; Buffet, Alexis; Le Boursicaud, Raphaël; Gallavardin, Antoine; Rambeau, Claire; Benmamar, Driss; Hauet, Alexandre",21,18,0,0,0,0
"doi:10.17180/obs.lones-ain","https://doi.org/10.17180/obs.lones-ain","Suivi hydrologique des lônes de la basse vallée de l'Ain","Dramais, Guillaume; Le Coz, Jérôme; Thollet, Fabien; Madigou, Céline, 2024, ""Suivi hydrologique des lônes de la basse vallée de l'Ain"", https://doi.org/10.17180/obs.lones-ain, Recherche Data Gouv, V1","Lônes de l'Ain Les lônes sont des bras morts encore partiellement connectés au cours d'eau lors des crues. Leur étude a donc été entreprise, pour comprendre la dynamique sédimentaire qui va décider de leur maintien ou de leur atterrissement. Le suivi par INRAE Lyon des lônes de l’Ain se place dans le cadre du programme « Modifications anthropiques des flux sédimentaires des cours d’eau, réponses des écosystèmes aquatiques et actions de restauration » de la Région Auvergne Rhône-Alpes et par le programme national ACI « ECCO » PNRH, « étude du fonctionnement hydro-sédimentaire des annexes fluviales ». Sites expérimentaux Lônes de l'Ain Suivi des hauteurs d'eau de la température et de la conductivité électrique dans les lônes","BDOH","Earth and Environmental Sciences","hydrology; hydraulics; humid zone; lône; oxbow lakes; groundwater",0,"2024-10-16T15:59:19Z","Dramais, Guillaume; Le Coz, Jérôme; Thollet, Fabien; Madigou, Céline",12,12,0,0,0,0
"doi:10.17180/obs.osr","https://doi.org/10.17180/obs.osr","Observatoire des Sédiments du Rhône","Thollet, Fabien; Le Bescond, Chloé; Lagouy, Mickaël; Gruat, Alexandra; Grisot, Ghislaine; Le Coz, Jérôme; Coquery, Marina; Lepage, Hugo; Gairoard, Stéphanie; Gattacceca, Julie Claire; Ambrosi, Jean-Paul; Radakovitch, Olivier; Dur, Geneviève; Richard, Loic; Giner, F.; Eyrolle, Frédérique; Angot, Hélène; Mourier, D.; Bonnefoy, Adrien; Dugué, Violaine; Launay, Marina; Troudet, Laura; Labille, Jérôme; Kieffer, Léa, 2024, ""Observatoire des Sédiments du Rhône"", https://doi.org/10.17180/obs.osr, Recherche Data Gouv, V1","L’Observatoire des Sédiments du Rhône (OSR) a été créé en 2009 à la suite de questions qui ont émergé dans le cadre du plan Rhône. Sur le Rhône, du Léman à la Méditerranée, soit un linéaire de plus de 500 km, cet observatoire a pour mission de produire, rassembler et gérer des données visant à caractériser les stocks et les flux sédimentaires, ainsi que les pollutions associées à ces sédiments. L’OSR est un programme de recherche financé au titre du Plan Rhône et bénéficie du soutien du Fond Européen pour le Développement Régional. L’OSR est un programme de recherche regroupant scientifiques (CNRS, INRAE, ENTPE, IRSN, Ifremer) et les principaux gestionnaires du fleuve (DREAL, Agence de l’Eau, la CNR, les régions Auvergne Rhône-Alpes, Provence-Alpes-Côte d’Azur et Occitanie, et EDF). Il constitue l’un des observatoires de la Zone Atelier du Bassin du Rhône (ZABR). Sites expérimentaux Réseau de mesure des flux de l'OSR Ce site expérimental regroupe les suivis par les différents partenaires de l'OSR des débits, des concentrations en matières en suspension et des concentrations en micropolluants sur le Rhône et ses affluents.","BDOH","Earth and Environmental Sciences","hydrology; water quality; metal ; hydraulics; sediment transport; organic micropollutant",0,"2024-10-17T08:07:43Z","Thollet, Fabien; Le Bescond, Chloé; Lagouy, Mickaël; Gruat, Alexandra; Grisot, Ghislaine; Le Coz, Jérôme; Coquery, Marina; Lepage, Hugo; Gairoard, Stéphanie; Gattacceca, Julie Claire; Ambrosi, Jean-Paul; Radakovitch, Olivier; Dur, Geneviève; Richard, Loic; Giner, F.; Eyrolle, Frédérique; Angot, Hélène; Mourier, D.; Bonnefoy, Adrien; Dugué, Violaine; Launay, Marina; Troudet, Laura; Labille, Jérôme; Kieffer, Léa",36,35,0,0,0,0
"doi:10.57745/Y3JLTV","https://doi.org/10.57745/Y3JLTV","Dataset associated to ""Enhanced database creation with in silico workflows for suspect screening of unknown tebuconazole transformation products in environmental samples by UHPLC-HRMS""","ROCCO, Kevin; MARGOUM, Christelle; RICHARD, Loïc; COQUERY, Marina, 2022, ""Dataset associated to ""Enhanced database creation with in silico workflows for suspect screening of unknown tebuconazole transformation products in environmental samples by UHPLC-HRMS"""", https://doi.org/10.57745/Y3JLTV, Recherche Data Gouv, V1","This dataset gather data files and script that are related to the creation of a database for suspect screening analysis of 291 transformation products (TPs) of tebuconazole, assisted by in silico workflows. There are several types of files: (1) The enhance created database itself, in .csv format ; (2) All structures of TPs of the database in one file, in the in .sdf format ; (3) Structure of each TPs of the database in differents .mol files, compressed in a .zip file. ; (4) A compilation of the scripts used for the database creation, in .rmd format.","eos","Chemistry; Earth and Environmental Sciences","database; suspect screening; transformation products; in silico predictors",4,"2022-07-09T23:57:43Z","ROCCO, Kevin; MARGOUM, Christelle; RICHARD, Loïc; COQUERY, Marina",598,256,49,16,NA,NA
"doi:10.57745/RS8266","https://doi.org/10.57745/RS8266","Biodiversity data for invertebrates","DATRY, THIBAULT, 2025, ""Biodiversity data for invertebrates"", https://doi.org/10.57745/RS8266, Recherche Data Gouv, V3, UNF:6:WTHHRyEQbMSyNjAYppwrwg== [fileUNF]","Current and future biodiversity data in drying river networks","Dryver-WP2","Earth and Environmental Sciences","",4,"2025-01-07T10:34:29Z","DATRY, THIBAULT",74,23,4,3,6264818,0.006
"doi:10.15454/RJCQZ7","https://doi.org/10.15454/RJCQZ7","Concentrations and fluxes of suspended particulate matters and associated contaminants in the Rhône River from Lake Geneva to the Mediterranean Sea","Lepage, Hugo; Gruat, Alexandra; THOLLET, FABIEN; Le Coz, Jérôme; Coquery, Marina; Masson, Matthieu; Dabrin, Aymeric; Radakovitch, Olivier; Eyrolle, Frédérique; Labille, Jérôme; Ambrosi Jean-Paul; Delanghe, Doriane; Raimbault, Patrick, 2021, ""Concentrations and fluxes of suspended particulate matters and associated contaminants in the Rhône River from Lake Geneva to the Mediterranean Sea"", https://doi.org/10.15454/RJCQZ7, Recherche Data Gouv, V1","The dataset contains the concentrations and fluxes of SPM as well as the concentrations and fluxes of several particle bound contaminants of concern (PCB, TME, radionuclides), the particle size distribution and the particulate organic carbon of SPM. Sediment traps or continuous flow centrifuges were used to collect sufficient amount of suspended particle matters in order to conduct the measurements.","inrae","Earth and Environmental Sciences","hydrology; hydraulics; sediment transport; organic micropollutant; metal ; water quality",0,"2021-09-27T11:14:02Z","Lepage, Hugo; Gruat, Alexandra; THOLLET, FABIEN; Le Coz, Jérôme; Coquery, Marina; Masson, Matthieu; Dabrin, Aymeric; Radakovitch, Olivier; Eyrolle, Frédérique; Labille, Jérôme; Ambrosi Jean-Paul; Delanghe, Doriane; Raimbault, Patrick",1030,469,0,0,0,0
"doi:10.17180/obs.saam","https://doi.org/10.17180/obs.saam","Site Atelier Ardières Morcille","Gouy, Véronique; Liger, Lucie; Carluer, Nadia; Margoum, Christelle, 2024, ""Site Atelier Ardières Morcille"", https://doi.org/10.17180/obs.saam, Recherche Data Gouv, V1","L’observatoire Ardière-Morcille est situé dans le massif du Beaujolais, (60 km au nord-ouest de Lyon) et est représentatif des bassins versants viticoles du centre et du nord du Beaujolais (pédologie, climatologie, occupation des sols, etc.). Il vise à mieux comprendre et limiter les conséquences négatives des actions anthropiques, et notamment de la viticulture, sur le fonctionnement des écosystèmes aquatiques. Ses travaux s’inscrivent notamment dans l’objectif global de parvenir à une meilleure compréhension de la chaîne pressions-expositions-impacts, appliquée aux produits phytosanitaires. C’est un site atelier de la Zone Atelier du Bassin du Rhône (https://www.zabr.assograie.org/). Il participe également à l’initiative de recherche en écotoxicologie-toxicologie, Recotox (https://www.recotox.eu). Questions scientifiques du site Ce site traite des questions environnementales liées aux zones d'agriculture intensive, caractérisées, ici, par une importance marquée du vignoble. Plus précisément, les objectifs scientifiques sont les suivants : Améliorer la connaissance des principaux processus et facteurs impliqués dans le transfert hydrique des produits phytosanitaires et la réponse des milieux aquatiques : Mieux cerner les déterminants du transfert et de la dissipation des polluants vers et dans les cours d'eau en prenant en compte différentes voies de transfert hydrique (surface, sub-surface, nappe superficielle), et les facteurs clés de l'efficacité de diverses solutions fondées sur la nature visant à limiter les transferts (bande enherbée, haie, enherbement inter-rang), Evaluer les effets écologiques des produits phytosanitaires sur les écosystèmes aquatiques par des approches in natura, en ayant recours à un panel d'outils chimiques (préleveurs automatiques, capteurs passifs) et biologiques (communautés microbienne, diatomées, gammares), et en considérant la variabilité spatio-temporelle des réponses. Développer une modélisation spatialisée à l'échelle du bassin versant prenant en compte l'influence des éléments du paysage pour limiter le transfert hydrique des produits phytosanitaires vers les cours d'eau. Initier une analyse sociologique de la ""résistance"" des acteurs locaux aux changements et des leviers pour améliorer leur implication, au moyen d'entretiens semi-directifs auprès des différents acteurs concernés et par la mise en place de groupes de réflexion associant chercheurs et acteurs opérationnels Accès aux données : En adéquation avec la politique de l'infrastructure Réseau des Zones Ateliers (LTSER-Long-Term Social-Ecological Research), la volonté est de faciliter la mise à disposition des données selon les principes FAIR (facilité de découverte, d’accès, d’interopérabilité et réutilisation des données). Les données peuvent être consultées et visualisées librement, et un enregistrement est nécessaire pour les télécharger. Leur utilisation est soumise au respect des conditions mentionnées via l’onglet dédié ci-dessus. Après inscription, vous pouvez choisir le paramètre qui vous intéresse (précipitations, débit d'eau, concentrations chimiques ...) pour afficher la liste correspondante des séries chronologiques disponibles dans les stations concernées. En cliquant sur l'icône représentant une petite loupe, vous pouvez accéder à la série choisie. Vous devez enfin choisir la période qui vous intéresse pour visualiser ou télécharger les données qui vous sont ensuite transférées via votre adresse électronique. Sites expérimentaux Ardières L'Ardières est un cours d’eau qui se situe au Nord du département du Rhône, dans le Beaujolais. C’est un affluent de la Saône, son linéaire fait 29 km et la superficie de son bassin versant, 150 km². Beaujeu (en amont) et Saint Jean-d’Ardières (en aval) sont les deux principales communes du bassin. L'hydrologie de la rivière Ardières est suivie depuis 2011 à la station hydrométrique permanente PIZ. Des paramètres similaires à ceux de la station VER sont étudiés. Les stations CHA et MON permettent d'étudier la variation spatiale de la contamination par les pesticides et les oligo-éléments dans la rivière Ardières. Les suivis sur les deux cours d’eau donnent des indications sur l’effet du changement d’échelles (une photo du bassin et une carte de localisation des stations sont accessibles en bas à droite de cette page). Morcille La Morcille est un affluent de l’Ardières, son linéaire fait 9 km et la superficie de son bassin versant, 8 km². Le bassin versant se situe en majeure partie sur la commune de Villié-Morgon. Ce bassin versant a, jusqu'à présent, fait l'objet de la plupart des études. Il est équipé de stations de mesure hydrométéorologique permanentes (CAL pour les précipitations, (depuis 1992) ou plus ponctuelles (SJOV et RUY). La station permanente VER permet d'accéder aux les débits dans la Morcille (depuis 2002)). Différents paramètres sont mesurés à cette station VER (chimie, biologie, microbiologie, flux). Des suivis chimiques ont aussi été mis en œuvre ponctuellement aux stations SJO et SEN, afin de rendre compte de l’évolution spatiale de la contamination par les pesticides et les oligo-éléments dans la rivière Morcille. La station BE est équipée de piézomètres qui permettent de suivre l'évolution d'une nappe de versant en amont du bassin de la Morcille.","BDOH","Earth and Environmental Sciences","pesticide; pollution agricole diffuse; buffer zone; flux; concentration; sampling; environmental impact; bassin versant expérimental",0,"2024-10-17T08:50:51Z","Gouy, Véronique; Liger, Lucie; Carluer, Nadia; Margoum, Christelle",19,17,0,0,0,0
"doi:10.17180/obs.arc-isere","https://doi.org/10.17180/obs.arc-isere","Suivi du transport sédimentaire sur les rivières Arvan, Arc et Isère","Thollet, Fabien; Camenen, Benoit; Le Coz, Jérôme; Némery, Julien; Rousseau, Christophe, 2024, ""Suivi du transport sédimentaire sur les rivières Arvan, Arc et Isère"", https://doi.org/10.17180/obs.arc-isere, Recherche Data Gouv, V1","Observatoire des sédiments sur l'Arc et Isère La vallée de la Maurienne en aval de Modane est caractérisée par de nombreux aménagements hydroélectriques et voies de communication (voie ferrée, route nationale et autoroute) dans une vallée étroite qui reçoit des apports sédimentaires abondants en provenance de l'ensemble du bassin versant. Ces apports sont très importants tout particulièrement en sédiments fins du fait de la lithologie de certains sous-bassins versant en rive gauche de l'Arc en Maurienne (marnes noires très érodables), en particulier par le torrent Arvan. Ainsi, les concentrations en Matière en Suspension (MES) observées naturellement dans la rivière sont très élevées, variant de quelques grammes par litre à l’étiage à plusieurs dizaines de grammes par litre lors d’événements hydrologiques majeurs ou d'événement de type laves torrentielles. Ces fortes concentrations peuvent avoir un impact fort sur la morphodynamique de la rivière, plus particulièrement sur le potentiel de dépôt sur les bancs de galets. Le bassin expérimental Arc-Isère vise à mieux comprendre la dynamique des MES et à estimer les possibles évolutions de l'Arc et de l’Isère et l’impact des aménagements hydroélectriques. Pour cela, il importe de bien cerner les apports à la rivière aussi bien en eau qu'en sédiments et d'évaluer les interactions entre les sédiments en suspension et le lit de la rivière. Les rivière de l'Arc et l'Arvan, son affluent, sont équipées chacune de deux stations de mesure limnimétrique et turbidimétrique pour de grandes gammes de concentration. Les chroniques de turbidité sont converties en chroniques de concentration en matières en suspension par analyses d'échantillons collectés manuellement et à l'aide de préleveur automatiques. L'Isère est également équipée de plusieurs stations de mesure hydro-sédimentaire gérées par des partenaires scientifiques. Une description précise des techniques instrumentales et des jeux de données est disponible dans l'article Long term high frequency sediment observatory in an alpine catchement: the Arc-Isère rivers, France, DOI : 10.1002/hyp.14044 (Thollet et al., 2021). Sites expérimentaux Arc Rivière torrentielle fortement aménagée pour la production hydroélectrique, affluent de l'Isère et au transport sédimentaire très actif faisant l'objet d'un suivi (suspension et charriage). Arvan Torrent de montagne, affluent de l'Arc générant un flux de sédiments en suspension important pour le bassin versant de l'Arc. Isère Rivière à la dynamique fluviale, un des principaux affluents au Rhône par sa contribution en matières solides. Questions scientifiques traitées en lien avec la quantification des flux en MES, Matière Organique, nutriments et contaminants (métaux et micro polluants organiques), l’envasement des retenues hydroélectriques...","BDOH","Earth and Environmental Sciences","bassin versant expérimental; hydroelectric engineering; hydrometry; sediment transport; morphologie des cours d'eau; mountain; hydraulics",0,"2024-10-17T10:58:34Z","Thollet, Fabien; Camenen, Benoit; Le Coz, Jérôme; Némery, Julien; Rousseau, Christophe",23,19,0,0,0,0
